Dataset,Source,Domain,Frequency,Chronos,TimesFM,Moirai,Moirai-MoE,Time-GPT,ForecastPFN,MOMENT,Lag-Llama,GPT4TS,Timer,VisionTS,TTM,LLMTime,Time-LMM,UniTime,Time-MoE,Chronos-2,Flowstate,LightGTS,Sundial,TabPFN-TS,Time-MoE2,TinyTimeMixer,TiRex,Toto,YingLong (under review),Gift-Eval,Flowstate(T),TimesFM-ICL,ROSE
Trends weekly,Google Trends,Web,W,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,
Trends monthly,Google Trends,Web,D,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,
Requests,"Huawei Cloud (Joosen et al., 2023)",CloudOps,T,,,,,,,,ZS,,,,,,,,,,,,,,,,,,,,,,
Function Delay,"Huawei Cloud (Joosen et al., 2023)",CloudOps,T,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
Platform Delay,"Huawei Cloud (Joosen et al., 2023)",CloudOps,T,,,,,,,,ZS,,,,,,,,,,,,,,,,,,,,,,
CPU Usage,"Huawei Cloud (Joosen et al., 2023)",CloudOps,T,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
Memory Usage,"Huawei Cloud (Joosen et al., 2023)",CloudOps,T,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
CPU Limit,"Huawei Cloud (Joosen et al., 2023)",CloudOps,T,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
Memory Limit,"Huawei Cloud (Joosen et al., 2023)",CloudOps,T,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
Instances,"Huawei Cloud (Joosen et al., 2023)",CloudOps,T,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
ETT1,"Informer (Zhou et al., 2020)",Energy,15T,ZS,,ZS,,,,T/T,P,T/T,ZS,ZS,ZS,,T/T,T/T,T/T,,ZS,T/T,ZS,,,,ZS,T/T,,ZS,ZS,ZS,T/T
ETT1,"Informer (Zhou et al., 2020)",Energy,H,ZS,,ZS,,,,T/T,P,T/T,ZS,ZS,ZS,,T/T,T/T,T/T,,ZS,T/T,ZS,,,,ZS,T/T,,ZS,ZS,ZS,T/T
ETT1,"Informer (Zhou et al., 2020)",Energy,D,,,,ZS,,ZS,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
ETT1,"Informer (Zhou et al., 2020)",Energy,W-THU,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
ETT2,"Informer (Zhou et al., 2020)",Energy,15T,ZS,,ZS,,,,T/T,ZS,T/T,ZS,ZS,ZS,,T/T,T/T,T/T,,ZS,T/T,ZS,,,,ZS,T/T,,ZS,,ZS,T/T
ETT2,"Informer (Zhou et al., 2020)",Energy,H,ZS,,ZS,,,,T/T,P,T/T,ZS,ZS,ZS,,T/T,T/T,T/T,,ZS,T/T,ZS,,,,ZS,T/T,,ZS,,ZS,T/T
ETT2,"Informer (Zhou et al., 2020)",Energy,D,,,,ZS,,ZS,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
ETT2,"Informer (Zhou et al., 2020)",Energy,W-THU,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Weather (US),"Informer (Zhou et al., 2020)",Weather,H,,,,,,,,,,,,,ZS,,,,,,,,,,,,T/T,,,,,
Brazilian Cities Temperature,Kaggle Competition,Weather,M,P,,,,,,,,,,,,,,,,,possible P,,P,,,,P,P,,,P,,
Walmart Store Sales,Kaggle Competition,Sales,W,,,ZS,ZS,,,,,,,ZS,,,,,,,,,,,,,,,,,,,
Istanbul Traffic,Kaggle Competition,Transport,W,,,ZS,ZS,,,,,,,ZS,,,,,,,,,,,,,,,,,,,
Turkey Power,Kaggle Competition,Energy,W,,,ZS,ZS,,,,,,,ZS,,ZS,,,,,,,,,,,,,,,,,
TSMC Stock,Kaggle Competition,Econ/Fin,W,,,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
LargeST,"LargeST (Liu et al., 2023a)",Transport,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Beijing Subway,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,,
HZMetro,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,,
Loop Seattle,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,,,,,,,,,,P,,ZS,,P,,,,ZS,T/T,,ZS,,,
Loop Seattle,"LibCity (Wang et al., 2023a)",Transport,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Loop Seattle,"LibCity (Wang et al., 2023a)",Transport,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Los-Loop,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,,,,,,P,,,,P,,P,,P,,,,P,T/T,,,P,,
M_DENSE,"LibCity (Wang et al., 2023a)",Transport,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
M_DENSE,"LibCity (Wang et al., 2023a)",Transport,W,,,,ZS,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
PEMS Bay,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,,,,,,P,,,,P,,P,P,P,,,,P,P,,P,P,,P
PEMS03,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,,,,ZS,,P,,,,P,,P,P,P,,,,P,P,,P,P,,P
PEMS04,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,,,,ZS,,P,,,,P,,P,P,P,,,,P,P,,P,P,,P
PEMS07,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,,,,ZS,,P,,,,P,,P,P,P,,,,P,P,,P,P,,P
PEMS08,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,T/T,,,ZS,,P,,,,P,,P,P,P,,,,P,P,,P,P,,P
Q-Traffic,"LibCity (Wang et al., 2023a)",Transport,W,,P,P,P,,,,,,,,P,,,,P,,P,,P,,,,P,P,,P,P,P,
SHMetro,"LibCity (Wang et al., 2023a)",Transport,W,,P,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
SZ-Taxi,"LibCity (Wang et al., 2023a)",Transport,W,,P,,,,,,,,,,P,,,,P,,ZS,,,,,,ZS,T/T,,ZS,,P,
SZ-Taxi,"LibCity (Wang et al., 2023a)",Transport,W,,,,,,,,,,,,P,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Rotterdam,"LibCity (Wang et al., 2023a)",Transport,W,,,P,P,,,,,,,,,,,,,,,,P,,,,,T/T,,,,,
Beijing Air Quality,"LOTSA_Others (Woo et al., 2024)",Nature,W,,,P,P,,,,P,,P,,,,,,P,,P,P,P,,,,P,P,,P,P,P,P
CDC Fluview ILINet,"LOTSA_Others (Woo et al., 2024)",Healthcare,W,,,P,P,,ZS,T/T,,T/T,,ZS,,,T/T,T/T,P,,P,,P,,,,P,P,,P,P,P,
CDC Fluview WHO NREVSS,"LOTSA_Others (Woo et al., 2024)",Healthcare,W,,,P,P,,,,,,,ZS,,,T/T,T/T,P,,P,,P,,,,P,P,,P,P,P,
China Air Quality,"LOTSA_Others (Woo et al., 2024)",Nature,W,,,P,P,,,,,,P,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Favorita Sales,"LOTSA_Others (Woo et al., 2024)",Sales,W,,P,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Favorita Transactions,"LOTSA_Others (Woo et al., 2024)",Sales,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
GoDaddy,"LOTSA_Others (Woo et al., 2024)",Econ/Fin,W,,,P,P,,,,,,,,,,,,,,P,,P,,,,P,P,,P,P,P,
KDD Cup 2022,"LOTSA_Others (Woo et al., 2024)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Project Tycho,"LOTSA_Others (Woo et al., 2024)",Healthcare,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
Residential Load Power,"LOTSA_Others (Woo et al., 2024)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Residential PV Power,"LOTSA_Others (Woo et al., 2024)",Energy,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Restaurant,"LOTSA_Others (Woo et al., 2024)",Sales,W,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
Solar,"LSTNet (Lai et al., 2017)",Energy,W,,,,,,,,,,,,,,,,,,ZS,T/T,,,,,ZS,T/T,,ZS,,,T/T
Solar,"LSTNet (Lai et al., 2017)",Energy,W,P,,,,,,,,,,,,,,,,,possible P,,P,,,,P,,,,P,,
Solar,"LSTNet (Lai et al., 2017)",Energy,W,P,,ZS,ZS,,,,,,,ZS,,,,,,,ZS,,P,,,,ZS,T/T,,ZS,P,,
Solar,"LSTNet (Lai et al., 2017)",Energy,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Solar,"LSTNet (Lai et al., 2017)",Energy,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Exchange Rate,"LSTNet (Lai et al., 2017)",Econ/Fin,W,ZS,,,,,ZS,T/T,ZS,,,,,ZS,,T/T,P,,,T/T,,,,,,,,,ZS,ZS,
Hierarchical Sales (M5 Competition),Mancuso et al. (2020),Sales,W,,,,,,,,,,,,,,,,P,,ZS,,,,,,ZS,T/T,,ZS,,,
Hierarchical Sales (M5 Competition),Mancuso et al. (2020),Sales,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Australian Electricity Demand,"Monash (Godahewa et al., 2021)",Energy,W,ZS,ZS,T/T,T/T,,,P,P,,P,ZS,P,ZS,,,P,,P,P,T/T,,,,,P,,P,ZS,ZS,P
Bitcoin,"Monash (Godahewa et al., 2021)",Econ/Fin,W,,ZS,T/T,T/T,,,P,,,P,ZS,P,ZS,,,P,,P,P,T/T,,,,,P,,P,,,P
Car Parts,"Monash (Godahewa et al., 2021)",Sales,W,,,T/T,T/T,,,P,,,,ZS,,,,,P,,ZS,,T/T,,,,,T/T,,ZS,ZS,ZS,
CIF 2016,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,ZS,T/T,T/T,,,P,,,,ZS,,ZS,,,P,,P,,T/T,,,,,P,,P,ZS,ZS,
COVID Deaths,"Monash (Godahewa et al., 2021)",Healthcare,W,ZS,ZS,T/T,T/T,,,P,,,,ZS,,ZS,,,P,,ZS,,T/T,,,,,T/T,,ZS,ZS,ZS,
Covid Mobility,"Monash (Godahewa et al., 2021)",Transport,W,,,T/T,T/T,,,,,,,,,,,,P,,P,,T/T,,,,,P,,P,,,
Elecdemand,"Monash (Godahewa et al., 2021)",Energy,W,,,T/T,T/T,,,,,,,,,,,,P,,P,,T/T,,,,,P,,P,,,
Extended Web Traffic,"Monash (Godahewa et al., 2021)",Web,W,,,T/T,T/T,,,,,,P,,P,,,,P,,P,,T/T,,,,,P,,P,,,
FRED MD,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,ZS,T/T,T/T,,,P,,,,ZS,,ZS,,,P,,P,P,T/T,,,,,P,,P,ZS,ZS,P
Hospital,"Monash (Godahewa et al., 2021)",Healthcare,W,ZS,ZS,T/T,T/T,,,P,,,,ZS,,ZS,,,P,,ZS,,T/T,,,,,T/T,,ZS,ZS,ZS,
Kaggle Web Traffic Weekly,"Monash (Godahewa et al., 2021)",Web,W,,,P,P,,,P,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
KDD Cup 2018,"Monash (Godahewa et al., 2021)",Nature,W,T/T,,T/T,T/T,,,P,P,,P,ZS,P,,,,P,,ZS,,T/T,,,,T/T,T/T,,ZS,P,,
KDD Cup 2018,"Monash (Godahewa et al., 2021)",Nature,W,,,,,,,,,,,,,,,,,,ZS,P,,,,,ZS,T/T,,ZS,,,P
London Smart Meters,"Monash (Godahewa et al., 2021)",Energy,W,T/T,,P,P,,,P,P,,P,,P,,,,P,,P,P,P,,,,T/T,P,,P,P,P,P
M1 Monthly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,,T/T,T/T,,,P,,,,ZS,,,,,P,,P,,T/T,,,,,P,,P,ZS,ZS,
M1 Quarterly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,,P,P,,,P,,,,,,,,,P,,P,,P,,,,,P,,P,ZS,ZS,
M1 Yearly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,,P,P,,,P,,,,,,,,,P,,P,,P,,,,,P,,P,ZS,ZS,
M3 Monthly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,,T/T,T/T,,,ZS,,T/T,,ZS,,,,,P,,P,,T/T,,,,,P,,P,ZS,ZS,
M3 Other,"Monash (Godahewa et al., 2021)",Econ/Fin,W,,,T/T,T/T,,,,,T/T,,ZS,,,,,,,P,,T/T,,,,,P,,P,,,
M3 Quarterly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,,P,P,,,ZS,,T/T,,,,,,,P,,P,,P,,,,,P,,P,ZS,ZS,
M3 Yearly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,,P,P,,,ZS,,T/T,,,,,,,P,,P,,P,,,,,P,,P,ZS,ZS,
M4 Daily,"Monash (Godahewa et al., 2021)",Econ/Fin,W,T/T,P,T/T,T/T,,,P,,T/T,,ZS,,,,,P,,ZS,,T/T,,,,T/T,T/T,,ZS,P,P,
M4 Hourly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,T/T,P,T/T,T/T,,,P,,T/T,,ZS,,,,,P,,ZS,,T/T,,,,T/T,T/T,,ZS,P,P,
M4 Monthly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,T/T,P,T/T,T/T,,,ZS,,T/T,,ZS,,,,,P,,ZS,,T/T,,,,T/T,T/T,,ZS,P,P,
M4 Quarterly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,P,P,P,,,ZS,,T/T,,,,,,,P,,ZS,,P,,,,ZS,T/T,,ZS,ZS,P,
M4 Weekly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,T/T,P,T/T,T/T,,,,,T/T,,ZS,,,,,P,,ZS,,T/T,,,,T/T,T/T,,ZS,P,,
M4 Yearly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,P,P,P,,,ZS,,T/T,,,,,,,P,,ZS,,P,,,,ZS,T/T,,ZS,ZS,P,
NN5 Daily,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,ZS,T/T,T/T,,,P,,,,ZS,P,ZS,,,P,,P,P,T/T,,,,,P,,P,ZS,ZS,P
NN5 Weekly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,ZS,T/T,T/T,,,P,,,,ZS,,ZS,,,,,P,,T/T,,,,,P,,P,ZS,ZS,
Oikolab Weather,"Monash (Godahewa et al., 2021)",Climate,W,,,T/T,T/T,,,,,,,,,,,,P,,P,,T/T,,,,,P,,P,,,
Pedestrian Counts,"Monash (Godahewa et al., 2021)",Transport,W,T/T,ZS,T/T,T/T,,,P,ZS,,P,ZS,,ZS,,,P,,P,P,T/T,,,,T/T,P,,P,P,,P
Rideshare,"Monash (Godahewa et al., 2021)",Transport,W,T/T,,T/T,T/T,,,P,,,,ZS,,,,,P,,P,,T/T,,,,T/T,P,,P,P,,
Saugeen,"Monash (Godahewa et al., 2021)",Nature,W,,ZS,T/T,T/T,,,P,,,P,ZS,P,ZS,,,P,,ZS,P,T/T,,,,ZS,T/T,,ZS,,,P
Saugeen,"Monash (Godahewa et al., 2021)",Nature,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Saugeen,"Monash (Godahewa et al., 2021)",Nature,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Solar Power (Australia),"Monash (Godahewa et al., 2021)",Energy,W,,,T/T,T/T,,,P,,,,,,,,,P,,P,P,T/T,,,,P,P,,P,P,P,
Solar,"Monash (Godahewa et al., 2021)",Energy,W,,ZS,,,,,P,,,,,P,ZS,,,,,,,,,,,,,,ZS,,,
Solar,"Monash (Godahewa et al., 2021)",Energy,W,,,,,,,P,P,,,,P,,,,,,,,,,,,,,,ZS,,,
Sunspot,"Monash (Godahewa et al., 2021)",Nature,W,,ZS,T/T,T/T,,,P,P,,P,ZS,P,ZS,,,P,,P,P,T/T,,,,,P,,P,,,P
Temperature Rain,"Monash (Godahewa et al., 2021)",Nature,W,T/T,,T/T,T/T,,,P,,,P,ZS,,,,,P,,ZS,P,T/T,,,,T/T,T/T,,ZS,P,,P
Tourism Monthly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,ZS,,,,,P,,T/T,,ZS,,ZS,,,P,,P,,,,,,,P,,P,ZS,ZS,
Tourism Quarterly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,ZS,,,,,P,,T/T,,ZS,,ZS,,,P,,P,,,,,,,P,,P,ZS,ZS,
Tourism Yearly,"Monash (Godahewa et al., 2021)",Econ/Fin,W,ZS,ZS,P,P,,,P,,T/T,,,,ZS,,,P,,P,,P,,,,,P,,P,ZS,ZS,
Traffic Hourly,"Monash (Godahewa et al., 2021)",Transport,W,ZS,P/ZS,T/T,T/T,,,T/T,P,T/T,ZS,ZS,ZS,ZS,T/T,,P,,P,T/T,T/T,,,,,P,,P,ZS,P,T/T
Traffic Weekly,"Monash (Godahewa et al., 2021)",Transport,W,,ZS,T/T,T/T,,ZS,P,,,,ZS,,ZS,,,P,,P,,T/T,,,,,P,,P,,,
US Births,"Monash (Godahewa et al., 2021)",Healthcare,W,,ZS,T/T,T/T,,,P,,,P,ZS,P,ZS,,,P,,ZS,P,T/T,,,,ZS,T/T,,ZS,,,P
US Births,"Monash (Godahewa et al., 2021)",Healthcare,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
US Births,"Monash (Godahewa et al., 2021)",Healthcare,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Vehicle Trips,"Monash (Godahewa et al., 2021)",Transport,W,,,T/T,T/T,,,P,,,,ZS,,,,,P,,P,,T/T,,,,,P,,P,,,
Weather (Australia),"Monash (Godahewa et al., 2021)",Climate,W,ZS,ZS,T/T,T/T,,,P,ZS,,,ZS,P,,T/T,T/T,P,,P,P,T/T,,,,,P,,P,ZS,,P
Wind Farms,"Monash (Godahewa et al., 2021)",Energy,W,,,T/T,T/T,,,P,,,,,,,,,P,,P,P,T/T,,,,,P,,P,,,P
Wind Farms,"Monash (Godahewa et al., 2021)",Energy,W,P,,,,,,,,,,,P,,,,,,,,P,,,,P,,,,P,,
Wind Farms,"Monash (Godahewa et al., 2021)",Energy,W,P,,,,,,,,,,,,,,,,,possible P,,P,,,,P,,,,P,,
Wind Farms,"Monash (Godahewa et al., 2021)",Energy,W,,,,,,,,P,,,,,,,,,,possible P,,,,,,,,,,,,
Wind Power,"Monash (Godahewa et al., 2021)",Energy,W,,,T/T,T/T,,,P,,,P,,,,,,,,P,P,T/T,,,,P,P,,P,P,P,P
Kaggle Web Traffic Daily,"Monash (Godahewa et al., 2021)",Web,W,,,,,,,P,,,,,,,,,,,P,P,,,,,,,,,,,P
Restaurant Recruit,Other,Sales,W,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Subseasonal,Other,Climate,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Subseasonal Precipitation,Other,Climate,W,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,,
USHCN,Other,Weather,W,P,,,,,,,,,,,,,,,,,possible P,,P,,,,P,P,,,P,,
Mexico City Bikes,Other,Transport,W,P,,,,,,,,,,,,,,,P,,possible P,,P,,,,P,P,,,P,,
Dominick,Other,Sales,W,ZS,,,,,,P,,,,,,,,,P,,,,,,,,,P,,,ZS,ZS,
ERCOT Load,Other,Energy,W,ZS,,,,,,,,,,,,,,,P,,,,,,,,,P,,,ZS,ZS,
